query,rank,video_id,relevance,caption,url,start time,end time,clip_similarity,bm25_score,normalized bm25,hybrid_score
a snowy mountain with a clear blue sky,1,video5870,2,a person is skiing on a snowy mountain and doing a ski jump,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,0.09386403,9.783778632737920,1.0,0.3657048225402830
a snowy mountain with a clear blue sky,2,video1031,1,there is a blue car is moving on the road,https://www.youtube.com/watch?v=t9FnRvUoA9w,162.84,177.68,0.17907272,4.884941609435800,0.49928987488434000,0.2751378699102560
a snowy mountain with a clear blue sky,3,video1027,2,a series of various mountain scenes are shown from the roadways,https://www.youtube.com/watch?v=wETgdf9FM-4,379.49,394.65,0.18083884,4.6513382358695400,0.4754132744076510,0.2692111646056970
a snowy mountain with a clear blue sky,4,video112,1,a man in blue over enjoying coat is skying downside,https://www.youtube.com/watch?v=w0lH7HibIwA,181.56,195.58,0.15397942,4.09551516349974,0.4186025989790450,0.23336636968671300
a snowy mountain with a clear blue sky,5,video1074,0,a woman in a blue blouse discusses how to keep the food from becoming soggy,https://www.youtube.com/watch?v=YiCM3T9WQNM,149.85,161.65,0.16525987,3.5257410585686900,0.3603659885323920,0.2237917055844330
a crowded city street at night with neon signs,1,video4900,2,man people walk down a busy street at night past restaurants and businesses,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,0.11396106,7.040253073345170,1.0,0.3797727406024930
a crowded city street at night with neon signs,2,video1369,1,a group of people giving a demonstration in a busy city,https://www.youtube.com/watch?v=QadW0hmFzNo,482.56,493.92,0.14327602,4.6513382358695400,0.6606777039705860,0.2984965228301030
a crowded city street at night with neon signs,3,video2972,0,a late night talk show host speaking,https://www.youtube.com/watch?v=-HKtCLnOpHE,62.51,72.82,0.12790212,4.6513382358695400,0.6606777039705860,0.28773479245719700
a crowded city street at night with neon signs,4,video1288,1,a group of kids walking down the street talking about jesus,https://www.youtube.com/watch?v=-RrSYwDeFPg,27.07,37.28,0.1478805,4.09551516349974,0.58172840107206,0.27803486802793600
a crowded city street at night with neon signs,5,video1190,1,a bunch of loud lamborghini s a driving up and down the street all at different times,https://www.youtube.com/watch?v=YhLO-6TmC4g,75.49,101.28,0.1520049,3.789329618949020,0.5382376996212900,0.267874735222271
a peaceful beach with palm trees and waves crashing,1,video3604,1,surfers sit on the beach then catch waves in the ocean,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,0.07927999,8.87823609017706,1.0,0.3554959923028950
a peaceful beach with palm trees and waves crashing,2,video5524,1,a man in a vest wearing sunglasses stands in a beach near a palm tree,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0.064061895,6.758767439322900,0.7612736776397340,0.27322543054597700
a peaceful beach with palm trees and waves crashing,3,video1375,0,surrounded by mountains trees and lake a person is riding a car,https://www.youtube.com/watch?v=wETgdf9FM-4,146.25,161.93,0.10026626,4.7487330987500200,0.5348734873140000,0.2306484302164360
a peaceful beach with palm trees and waves crashing,4,video2257,1,a child swims on the beach,https://www.youtube.com/watch?v=CgNtfelbfvg,56.45,70.35,0.08633923,4.944331941217050,0.5569047602470820,0.2275088875727680
a peaceful beach with palm trees and waves crashing,5,video1167,0,a clip showing a woman riding a horse on a beach,https://www.youtube.com/watch?v=P7tpP5_J86I,40.62,55.67,0.11468863,3.7457956933086800,0.4219076464358780,0.20685433387112100
a person jogging through a park in the morning,1,video2323,0,a dog is walking in the park,https://www.youtube.com/watch?v=cjyqWsrpQAA,9.22,19.23,0.15192463,6.77465912942354,1.0,0.4063472330570220
a person jogging through a park in the morning,2,video1082,1,a person is explaining something,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,0.20064752,4.221335148067780,0.6231066489727550,0.32738525880906700
a person jogging through a park in the morning,3,video1188,0,a person is explaining something,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,0.18439034,4.221335148067780,0.6231066489727550,0.3160052271041650
a person jogging through a park in the morning,4,video1125,0,a person cutting dough with a knife,https://www.youtube.com/watch?v=0vu49hqOoao,127.55,138.31,0.19275422,3.8144957798799200,0.5630535362750410,0.3038440191325580
a person jogging through a park in the morning,5,video1265,0,a person is cooking food in a pan,https://www.youtube.com/watch?v=m22AB35ufyI,133.85,154.0,0.17798615,3.8144957798799200,0.5630535362750410,0.2935063609060680
a chef chopping vegetables in a kitchen,1,video1130,1,various vegetables on a white table possibly a cooking show/demo,https://www.youtube.com/watch?v=vE2WEYeGNQo,0.0,10.09,0.18790223,5.132440396868380,1.0,0.43153155148029300
a chef chopping vegetables in a kitchen,2,video1093,2,a woman is cooking pasta and meatballs in the kitchen,https://www.youtube.com/watch?v=W3YVmSMl-fY,13.93,26.45,0.2013082,4.24817597311582,0.8277107271830950,0.3892289547109820
a chef chopping vegetables in a kitchen,3,video5812,2,a lady chef describing how to cut spring onions for garnishing,https://www.youtube.com/watch?v=X4kxjRmU3HQ,6.72,20.03,0.09948016,4.7487330987500200,0.9252388204347220,0.34720776007208600
a chef chopping vegetables in a kitchen,4,video3840,1,in a kitchen a woman is making a chicken recipe,https://www.youtube.com/watch?v=VHXIWFoxJTg,9.98,23.51,0.121985726,4.24817597311582,0.8277107271830950,0.3337032271409250
a chef chopping vegetables in a kitchen,5,video1456,1,a woman in a checkered shirt is in a kitchen crisping chicken,https://www.youtube.com/watch?v=TNZaw-xGOgg,122.34,139.94,0.14349008,3.9049147093895700,0.7608300160236050,0.32869205507239400
a surfer riding a big wave,1,video1167,0,a clip showing a woman riding a horse on a beach,https://www.youtube.com/watch?v=P7tpP5_J86I,40.62,55.67,0.17183636,3.9049147093895700,1.0,0.4202854514122010
a surfer riding a big wave,2,video362,0,a game scene of a man riding his bike speedly,https://www.youtube.com/watch?v=19HB8Z8LBnQ,101.85,112.26,0.13253398,3.9049147093895700,1.0,0.39277378767728800
a surfer riding a big wave,3,video1375,0,surrounded by mountains trees and lake a person is riding a car,https://www.youtube.com/watch?v=wETgdf9FM-4,146.25,161.93,0.15639195,3.612978679613800,0.9252388204347220,0.38704600707325700
a surfer riding a big wave,4,video5920,0,a man is sitting back in a cycle and riding into the house,https://www.youtube.com/watch?v=U2TlfRec-N8,0.0,26.64,0.10445042,3.9049147093895700,1.0,0.3731152892112730
a surfer riding a big wave,5,video652,0,two people riding a self powered skateboard in an open hill field near a cliff by the ocean,https://www.youtube.com/watch?v=w0lH7HibIwA,132.05,158.75,0.0971853,2.6299047669908800,0.6734858409755120,0.27007546145298100
a red sports car in front of a building,1,video1332,0,a group of musicians are performing a song in front of a building,https://www.youtube.com/watch?v=_lFHK8sY5n0,19.4,41.96,0.13466161,8.746853399369280,1.0,0.39426312893629100
a red sports car in front of a building,2,video120,1,a man describes the features of a white sports car,https://www.youtube.com/watch?v=brXYhcC53QE,206.89,221.34,0.14298521,7.507448752033190,0.858302798646944,0.3575804864699420
a red sports car in front of a building,3,video0,0,a car is shown,https://www.youtube.com/watch?v=9lZi22qLlEo,137.72,149.44,0.26576826,3.5092153078855700,0.4011974532622910,0.3063970148330580
a red sports car in front of a building,4,video5942,2,there is a red stylish car on the road,https://www.youtube.com/watch?v=ujn7jEQ4ib4,95.21,108.73,0.061681602,6.994571399139630,0.7996671579798050,0.2830772677814960
a red sports car in front of a building,5,video1079,0,a girl group all dressed in red,https://www.youtube.com/watch?v=IPFyKvFFULg,117.97,128.14,0.17256016,4.161770964092970,0.4758020712217570,0.26353272716048000
a golden retriever sitting on a grassy field,1,video1029,0,a boy and a man are sitting and talking,https://www.youtube.com/watch?v=a3MyLt6l5n0,42.72,54.94,0.1628452,5.168854396605070,0.9036230590754950,0.3850785507802430
a golden retriever sitting on a grassy field,2,video3525,1,a dog is running on a field,https://www.youtube.com/watch?v=fyz2bryWD8g,70.95,83.03,0.08536253,5.7201444171791900,1.0,0.35975377187132800
a golden retriever sitting on a grassy field,3,video5318,0,a girls talks about a man while sitting in a chair,https://www.youtube.com/watch?v=BBwepkVurCI,233.25,245.77,0.069603406,4.714486600061570,0.8241901351131370,0.2959794231688190
a golden retriever sitting on a grassy field,4,video5920,0,a man is sitting back in a cycle and riding into the house,https://www.youtube.com/watch?v=U2TlfRec-N8,0.0,26.64,0.06127786,4.333546488729350,0.7575938949573540,0.27017266972626800
a golden retriever sitting on a grassy field,5,video5830,1,a baseball fan runs across the playing field during a match,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,0.06255424,4.009565441530970,0.7009552817388900,0.2540745519353310
a firefighter rescuing a person from a burning building at night,1,video636,1,a fire is burning,https://www.youtube.com/watch?v=NuZy8Rjk4d0,246.77,273.81,0.05629058,6.872627333698020,1.0,0.33940340504050300
a firefighter rescuing a person from a burning building at night,2,video4055,1,a fire burning in the woods,https://www.youtube.com/watch?v=NuZy8Rjk4d0,151.41,162.45,0.08403143,6.139619480607580,0.893343867272368,0.32682516244358700
a firefighter rescuing a person from a burning building at night,3,video1082,0,a person is explaining something,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,0.17617565,4.221335148067780,0.6142243632751090,0.30759026524655200
a firefighter rescuing a person from a burning building at night,4,video1332,0,a group of musicians are performing a song in front of a building,https://www.youtube.com/watch?v=_lFHK8sY5n0,19.4,41.96,0.1237162,4.6513382358695400,0.6767918599431390,0.2896388972635470
a firefighter rescuing a person from a burning building at night,5,video1188,0,a person is explaining something,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,0.14182247,4.221335148067780,0.6142243632751090,0.283543039532822
a person near luxury cars in cloudy weather speaking to someone,1,video5940,1,many cars were participating in the car race competition and two cars dashing each other in the middle of the street,https://www.youtube.com/watch?v=xCnqc_rZX88,36.48,59.65,0.14742336,5.230065353800990,1.0,0.40319634526968
a person near luxury cars in cloudy weather speaking to someone,2,video1082,1,a person is explaining something,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,0.22383484,4.221335148067780,0.8071285658027000,0.3988229534907720
a person near luxury cars in cloudy weather speaking to someone,3,video1276,1,a man in a car speaking on being a driver with some music in the background,https://www.youtube.com/watch?v=vWvDSQAefu8,55.77,84.88,0.20142259,4.333546488729350,0.8285836209637250,0.38957090168542600
a person near luxury cars in cloudy weather speaking to someone,4,video1188,0,a person is explaining something,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,0.2089369,4.221335148067780,0.8071285658027000,0.3883943907304190
a person near luxury cars in cloudy weather speaking to someone,5,video1080,0,a clip showing someone smashing sandwiches,https://www.youtube.com/watch?v=2eXCKFMzg2w,46.53,57.85,0.22424941,3.9263645954114800,0.7507295473005830,0.38219344805438700
