query,rank,video_id,caption,url,start,end,similarity,relevance
a snowy mountain with a clear blue sky,1,video1375,surrounded by mountains trees and lake a person is riding a car,https://www.youtube.com/watch?v=wETgdf9FM-4,146.25,161.93,0.28315794467926000,2
a snowy mountain with a clear blue sky,2,video1319,an animated genghis khan levitates into the air with his sword and is radiant in a ray of light,https://www.youtube.com/watch?v=szxPar0BcMo,208.92,231.99,0.23263946175575300,1
a snowy mountain with a clear blue sky,3,video1027,a series of various mountain scenes are shown from the roadways,https://www.youtube.com/watch?v=wETgdf9FM-4,379.49,394.65,0.22617480158805800,2
a snowy mountain with a clear blue sky,4,video4113,a guy is playing the game minecraft,https://www.youtube.com/watch?v=cKHrznnBbao,838.28,848.63,0.22329233586788200,1
a snowy mountain with a clear blue sky,5,video1165,a bunch of characters dance and fall down from a stage,https://www.youtube.com/watch?v=mc17IgLXk6U,96.33,106.75,0.21823415160179100,0
a crowded city street at night with neon signs,1,video4900,man people walk down a busy street at night past restaurants and businesses,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,0.2727609872817990,2
a crowded city street at night with neon signs,2,video5380,on ted t a man goes running off of a tall building and seen falling to the ground in a city,https://www.youtube.com/watch?v=vpjVgF5JDq8,925.47,936.72,0.23685523867607100,2
a crowded city street at night with neon signs,3,video3947,a is chased by police in a video game,https://www.youtube.com/watch?v=bwmn2CThQ2Y,212.73,222.94,0.2336602360010150,1
a crowded city street at night with neon signs,4,video362,a game scene of a man riding his bike speedly,https://www.youtube.com/watch?v=19HB8Z8LBnQ,101.85,112.26,0.22179222106933600,1
a crowded city street at night with neon signs,5,video1165,a bunch of characters dance and fall down from a stage,https://www.youtube.com/watch?v=mc17IgLXk6U,96.33,106.75,0.22007068991661100,0
a peaceful beach with palm trees and waves crashing,1,video2257,a child swims on the beach,https://www.youtube.com/watch?v=CgNtfelbfvg,56.45,70.35,0.2135988473892210,1
a peaceful beach with palm trees and waves crashing,2,video4285,a lake and wooded hillside filmed from the back of a moving train,https://www.youtube.com/watch?v=y9oQAnpeuUo,563.05,574.81,0.20229178667068500,0
a peaceful beach with palm trees and waves crashing,3,video1174,a bus with an ice cream cone on top is driving around,https://www.youtube.com/watch?v=3MCG66O2vWY,602.22,621.37,0.19903568923473400,2
a peaceful beach with palm trees and waves crashing,4,video3604,surfers sit on the beach then catch waves in the ocean,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,0.1959533989429470,1
a peaceful beach with palm trees and waves crashing,5,video1165,a bunch of characters dance and fall down from a stage,https://www.youtube.com/watch?v=mc17IgLXk6U,96.33,106.75,0.19446054100990300,0
a person jogging through a park in the morning,1,video1872,a man in a white tee shirt wearing a backpack walks through a rock filled creek,https://www.youtube.com/watch?v=x3dBFQeI9Ig,335.05,347.43,0.2650302052497860,1
a person jogging through a park in the morning,2,video5830,a baseball fan runs across the playing field during a match,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,0.25672489404678300,1
a person jogging through a park in the morning,3,video1185,a guy in a white shirt saying he s on his way to the mountains,https://www.youtube.com/watch?v=x3dBFQeI9Ig,23.07,33.55,0.25512441992759700,1
a person jogging through a park in the morning,4,video1319,an animated genghis khan levitates into the air with his sword and is radiant in a ray of light,https://www.youtube.com/watch?v=szxPar0BcMo,208.92,231.99,0.24958088994026200,0
a person jogging through a park in the morning,5,video5142,a chimp playing with a dog,https://www.youtube.com/watch?v=AxYiLzWee84,36.18,47.39,0.24842756986618000,1
a chef chopping vegetables in a kitchen,1,video3855,a bald man in a chefs coat stands in a kitchen and speaks about the food on a board in front of him,https://www.youtube.com/watch?v=ua6Q4oAnUEw,60.14,74.02,0.3007335662841800,1
a chef chopping vegetables in a kitchen,2,video5812,a lady chef describing how to cut spring onions for garnishing,https://www.youtube.com/watch?v=X4kxjRmU3HQ,6.72,20.03,0.2839067280292510,2
a chef chopping vegetables in a kitchen,3,video3470,the woman prepare the special food item with lot of vegetable and other ingredients,https://www.youtube.com/watch?v=vNFDLkQZD5w,142.02,153.8,0.2806178629398350,1
a chef chopping vegetables in a kitchen,4,video1130,various vegetables on a white table possibly a cooking show/demo,https://www.youtube.com/watch?v=vE2WEYeGNQo,0.0,10.09,0.2781985402107240,1
a chef chopping vegetables in a kitchen,5,video1106,a woman put a pot over an open flame on the stove and startes to stir its contents,https://www.youtube.com/watch?v=xZ3xf-K4lGE,135.56,146.32,0.26761654019355800,1
a surfer riding a big wave,1,video3604,surfers sit on the beach then catch waves in the ocean,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,0.2729472517967220,2
a surfer riding a big wave,2,video2257,a child swims on the beach,https://www.youtube.com/watch?v=CgNtfelbfvg,56.45,70.35,0.26233306527137800,1
a surfer riding a big wave,3,video5870,a person is skiing on a snowy mountain and doing a ski jump,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,0.24551665782928500,0
a surfer riding a big wave,4,video2393,a car is moving about,https://www.youtube.com/watch?v=9lZi22qLlEo,155.56,169.36,0.2447872757911680,0
a surfer riding a big wave,5,video1259,a group of men discuss action movies,https://www.youtube.com/watch?v=OoMgPX1pwTk,623.07,634.85,0.23991598188877100,0
a red sports car in front of a building,1,video3947,a is chased by police in a video game,https://www.youtube.com/watch?v=bwmn2CThQ2Y,212.73,222.94,0.26576828956604000,2
a red sports car in front of a building,2,video1236,a car is going on the road in a video game,https://www.youtube.com/watch?v=-ad1REU_H3Y,192.81,212.81,0.25498175621032700,1
a red sports car in front of a building,3,video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,0.2492874264717100,2
a red sports car in front of a building,4,video1136,a car is being showcased,https://www.youtube.com/watch?v=gF9X9CDBiTs,196.35,207.28,0.24107259511947600,2
a red sports car in front of a building,5,video5942,there is a red stylish car on the road,https://www.youtube.com/watch?v=ujn7jEQ4ib4,95.21,108.73,0.23523060977459000,2
a golden retriever sitting on a grassy field,1,video3593,a dog wears headphones and dances around,https://www.youtube.com/watch?v=c7gQ52Z4WGg,88.34,100.02,0.26005831360817000,2
a golden retriever sitting on a grassy field,2,video1319,an animated genghis khan levitates into the air with his sword and is radiant in a ray of light,https://www.youtube.com/watch?v=szxPar0BcMo,208.92,231.99,0.22536247968673700,0
a golden retriever sitting on a grassy field,3,video652,two people riding a self powered skateboard in an open hill field near a cliff by the ocean,https://www.youtube.com/watch?v=w0lH7HibIwA,132.05,158.75,0.2195008099079130,1
a golden retriever sitting on a grassy field,4,video1165,a bunch of characters dance and fall down from a stage,https://www.youtube.com/watch?v=mc17IgLXk6U,96.33,106.75,0.19898280501365700,0
a golden retriever sitting on a grassy field,5,video1872,a man in a white tee shirt wearing a backpack walks through a rock filled creek,https://www.youtube.com/watch?v=x3dBFQeI9Ig,335.05,347.43,0.196003720164299,0
a firefighter rescuing a person from a burning building at night,1,video1446,a man runs and shouts instructions at the scene of a plane crash on the beach,https://www.youtube.com/watch?v=vpjVgF5JDq8,407.92,420.97,0.23468312621116600,1
a firefighter rescuing a person from a burning building at night,2,video1124,a man is on a ladder,https://www.youtube.com/watch?v=9LyOQ2cJfvI,37.51,56.3,0.22990703582763700,1
a firefighter rescuing a person from a burning building at night,3,video1134,a clip of a fighting video game,https://www.youtube.com/watch?v=OaXEKTgZV9Y,1.25,13.93,0.21615377068519600,1
a firefighter rescuing a person from a burning building at night,4,video1297,eminem wears a knit cap and raps in a rap battle,https://www.youtube.com/watch?v=ylkOAtifuJ0,345.26,355.94,0.2158568799495700,0
a firefighter rescuing a person from a burning building at night,5,video5142,a chimp playing with a dog,https://www.youtube.com/watch?v=AxYiLzWee84,36.18,47.39,0.21583673357963600,0
a person near luxury cars in cloudy weather speaking to someone,1,video120,a man describes the features of a white sports car,https://www.youtube.com/watch?v=brXYhcC53QE,206.89,221.34,0.26910266280174300,1
a person near luxury cars in cloudy weather speaking to someone,2,video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,0.26843884587287900,2
a person near luxury cars in cloudy weather speaking to someone,3,video129,a man is in a boat,https://www.youtube.com/watch?v=jWxpHociX0I,541.05,552.37,0.2622683644294740,1
a person near luxury cars in cloudy weather speaking to someone,4,video1276,a man in a car speaking on being a driver with some music in the background,https://www.youtube.com/watch?v=vWvDSQAefu8,55.77,84.88,0.258558452129364,1
a person near luxury cars in cloudy weather speaking to someone,5,video4243,a couple smiles then an asian lady applies for  a job then another couple hold hands,https://www.youtube.com/watch?v=N708P-A45D0,40.59,51.07,0.2523418664932250,0
