query,rank,video_id,caption,url,start,end,similarity,relevance
a snowy mountain with a clear blue sky,1,video1118,a black man dances in an old music video,https://www.youtube.com/watch?v=4Nt1r0vOpY4,49.18,63.3,0.17306382954120600,0
a snowy mountain with a clear blue sky,2,video1189,a man is mocking newspeople,https://www.youtube.com/watch?v=6Ed5NOQICAY,298.35,313.73,0.17153248190879800,0
a snowy mountain with a clear blue sky,3,video5870,a person is skiing on a snowy mountain and doing a ski jump,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,0.1702977418899540,2
a snowy mountain with a clear blue sky,4,video0,a car is shown,https://www.youtube.com/watch?v=9lZi22qLlEo,137.72,149.44,0.15825526416301700,0
a snowy mountain with a clear blue sky,5,video6422,a clip from a bleach video game,https://www.youtube.com/watch?v=8GncD3BAzNg,152.03,164.01,0.15696576237678500,0
a crowded city street at night with neon signs,1,video4900,man people walk down a busy street at night past restaurants and businesses,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,0.2727609872817990,2
a crowded city street at night with neon signs,2,video3947,a is chased by police in a video game,https://www.youtube.com/watch?v=bwmn2CThQ2Y,212.73,222.94,0.2336602360010150,1
a crowded city street at night with neon signs,3,video1129,a girl is doing something,https://www.youtube.com/watch?v=cmSbXsFE3l8,50.31,62.78,0.19773134589195300,0
a crowded city street at night with neon signs,4,video1597,a bus with an ice cream cone on top is being driven,https://www.youtube.com/watch?v=3MCG66O2vWY,638.15,650.16,0.19245831668376900,1
a crowded city street at night with neon signs,5,video1200,a character is driving a big-wheeled vehicle in a video game,https://www.youtube.com/watch?v=3bIVH2BtDF4,310.02,324.2,0.18627195060253100,1
a peaceful beach with palm trees and waves crashing,1,video3604,surfers sit on the beach then catch waves in the ocean,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,0.1959533989429470,1
a peaceful beach with palm trees and waves crashing,2,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0.18940281867981000,1
a person jogging through a park in the morning,1,video5830,a baseball fan runs across the playing field during a match,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,0.25672489404678300,1
a person jogging through a park in the morning,2,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0.22408747673034700,0
a person jogging through a park in the morning,3,video1597,a bus with an ice cream cone on top is being driven,https://www.youtube.com/watch?v=3MCG66O2vWY,638.15,650.16,0.2095627784729000,0
a person jogging through a park in the morning,4,video0,a car is shown,https://www.youtube.com/watch?v=9lZi22qLlEo,137.72,149.44,0.20477573573589300,0
a person jogging through a park in the morning,5,video119,a music video showing a black artist singing with many other male and female artist around,https://www.youtube.com/watch?v=y2o19g5pBPM,21.49,36.0,0.2030567228794100,0
a chef chopping vegetables in a kitchen,1,video3855,a bald man in a chefs coat stands in a kitchen and speaks about the food on a board in front of him,https://www.youtube.com/watch?v=ua6Q4oAnUEw,60.14,74.02,0.3007335662841800,1
a chef chopping vegetables in a kitchen,2,video3470,the woman prepare the special food item with lot of vegetable and other ingredients,https://www.youtube.com/watch?v=vNFDLkQZD5w,142.02,153.8,0.2806178629398350,1
a chef chopping vegetables in a kitchen,3,video1130,various vegetables on a white table possibly a cooking show/demo,https://www.youtube.com/watch?v=vE2WEYeGNQo,0.0,10.09,0.2781985402107240,1
a chef chopping vegetables in a kitchen,4,video1008,a man has a cup of onions,https://www.youtube.com/watch?v=gFySwS8jZa0,31.5,50.1,0.25433921813964800,1
a chef chopping vegetables in a kitchen,5,video994,there is a woman is making a dish with boiled water,https://www.youtube.com/watch?v=W3YVmSMl-fY,259.97,278.41,0.24933359026908900,1
a surfer riding a big wave,1,video3604,surfers sit on the beach then catch waves in the ocean,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,0.2729472517967220,2
a surfer riding a big wave,2,video5870,a person is skiing on a snowy mountain and doing a ski jump,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,0.24551665782928500,0
a surfer riding a big wave,3,video1069,a female providing a nail art demonstration,https://www.youtube.com/watch?v=-FqiEIpJN8c,114.03,127.94,0.21894818544387800,0
a surfer riding a big wave,4,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0.20417115092277500,0
a surfer riding a big wave,5,video1195,a bulldog puppy attempts to walk on carpet,https://www.youtube.com/watch?v=amtuB-2wGeQ,93.97,106.87,0.1966542899608610,0
a red sports car in front of a building,1,video3947,a is chased by police in a video game,https://www.youtube.com/watch?v=bwmn2CThQ2Y,212.73,222.94,0.26576828956604000,2
a red sports car in front of a building,2,video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,0.2492874264717100,2
a red sports car in front of a building,3,video5942,there is a red stylish car on the road,https://www.youtube.com/watch?v=ujn7jEQ4ib4,95.21,108.73,0.23523060977459000,2
a red sports car in front of a building,4,video1222,a cartoon involving animals,https://www.youtube.com/watch?v=AL-jE2w8EDM,249.51,259.56,0.2246311902999880,1
a red sports car in front of a building,5,video1060,a car storage space is opened,https://www.youtube.com/watch?v=IbPAMyvTLks,150.83,167.65,0.18841856718063400,0
a golden retriever sitting on a grassy field,1,video5830,a baseball fan runs across the playing field during a match,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,0.174209326505661,1
a golden retriever sitting on a grassy field,2,video1634,men trying to save dummies from a fire one man dropped a dummie from a stretcher,https://www.youtube.com/watch?v=Xa7Bgj0y3eg,35.49,49.69,0.16811245679855300,0
a golden retriever sitting on a grassy field,3,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0.16225284337997400,0
a golden retriever sitting on a grassy field,4,video1043,a group of white puppies while a man talks to them on a television set,https://www.youtube.com/watch?v=-HKtCLnOpHE,121.34,132.85,0.15948206186294600,1
a golden retriever sitting on a grassy field,5,video119,a music video showing a black artist singing with many other male and female artist around,https://www.youtube.com/watch?v=y2o19g5pBPM,21.49,36.0,0.15821051597595200,0
a firefighter rescuing a person from a burning building at night,1,video4900,man people walk down a busy street at night past restaurants and businesses,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,0.21520639955997500,1
a firefighter rescuing a person from a burning building at night,2,video4055,a fire burning in the woods,https://www.youtube.com/watch?v=NuZy8Rjk4d0,151.41,162.45,0.19585192203521700,1
a firefighter rescuing a person from a burning building at night,3,video1129,a girl is doing something,https://www.youtube.com/watch?v=cmSbXsFE3l8,50.31,62.78,0.19569075107574500,0
a firefighter rescuing a person from a burning building at night,4,video1634,men trying to save dummies from a fire one man dropped a dummie from a stretcher,https://www.youtube.com/watch?v=Xa7Bgj0y3eg,35.49,49.69,0.19481271505355800,1
a firefighter rescuing a person from a burning building at night,5,video119,a music video showing a black artist singing with many other male and female artist around,https://www.youtube.com/watch?v=y2o19g5pBPM,21.49,36.0,0.1935630738735200,0
a person near luxury cars in cloudy weather speaking to someone,1,video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,0.26843884587287900,2
