video_id,caption,sen_id,category,url,start time,end time,split,id,__index_level_0__
video0,a car is shown,77300,9,https://www.youtube.com/watch?v=9lZi22qLlEo,137.72,149.44,train,0,0
video1000,a woman is wearing a costume,49000,7,https://www.youtube.com/watch?v=ALrHNDBK-jw,738.93,749.93,train,1000,4
video1008,a man has a cup of onions,45900,17,https://www.youtube.com/watch?v=gFySwS8jZa0,31.5,50.1,train,1008,12
video1010,in studio aa virtual studio a  woman shows two different locations that have been shot there,130800,4,https://www.youtube.com/watch?v=TPSMkc8W27M,77.69,96.61,train,1010,15
video1012,a blonde woman in a white lab coat is followed by red and black clips attached to silver pins,107160,12,https://www.youtube.com/watch?v=T1RQbMCJf4k,31.75,46.34,train,1012,17
video1016,a clip telling how to start a fire,94660,10,https://www.youtube.com/watch?v=NuZy8Rjk4d0,281.77,301.25,train,1016,21
video1017,a group is dancing,27100,3,https://www.youtube.com/watch?v=B2-wLQT5L1Y,300.81,313.36,train,1017,22
video1018,a guy solving a math problem,55180,5,https://www.youtube.com/watch?v=2Q8lG1WaqJY,372.25,383.8,train,1018,23
video1029,a boy and a man are sitting and talking,12780,13,https://www.youtube.com/watch?v=a3MyLt6l5n0,42.72,54.94,train,1029,35
video1030,a man talks about football scores,50640,3,https://www.youtube.com/watch?v=-ynjs7Rm-2o,132.21,143.32,train,1030,37
video1043,a group of white puppies while a man talks to them on a television set,34060,13,https://www.youtube.com/watch?v=-HKtCLnOpHE,121.34,132.85,train,1043,51
video1047,the woman in the white dress standing in the paper products shop,122600,7,https://www.youtube.com/watch?v=vFGZ_ckU9Bk,61.98,80.13,train,1047,55
video1060,a car storage space is opened,77500,9,https://www.youtube.com/watch?v=IbPAMyvTLks,150.83,167.65,train,1060,70
video1069,a female providing a nail art demonstration,37760,10,https://www.youtube.com/watch?v=-FqiEIpJN8c,114.03,127.94,train,1069,79
video1070,a dashboard with all the gauges,86140,9,https://www.youtube.com/watch?v=1KYpXcXA508,6.65,17.05,train,1070,81
video1073,a funny clip of ellen tv show,35200,12,https://www.youtube.com/watch?v=4-9dWFcBFpY,216.66,230.41,train,1073,84
video1082,a person is explaining something,48520,9,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,train,1082,94
video1086,a church is being presented,65620,11,https://www.youtube.com/watch?v=7HfR7iiyNs8,247.57,257.93,train,1086,98
video1092,a clip showing women performing yoga,88660,18,https://www.youtube.com/watch?v=-_Yi9dVkXpI,158.79,172.44,train,1092,105
video1094,a man in a white sweater vest sits at a desk and looks at pictures,109060,12,https://www.youtube.com/watch?v=YgWnhS5WyfM,157.14,180.23,train,1094,107
video11,a few pictures of the beatles,37320,13,https://www.youtube.com/watch?v=VPup4RRKv5g,81.76,94.07,train,11,113
video1101,a character in a video game commits parkour,61360,2,https://www.youtube.com/watch?v=COXUQnwPBXI,440.81,458.48,train,1101,116
video1102,a cook mixing together ingredients,81880,17,https://www.youtube.com/watch?v=7HtKCkq1_c8,147.17,159.8,train,1102,117
video1103,a man cooking food,60240,3,https://www.youtube.com/watch?v=BEsAuvfr6h8,206.79,217.03,train,1103,118
video1105,a clay godzilla fights a clay king kong,65940,10,https://www.youtube.com/watch?v=C5pbafpxDGQ,70.94,82.02,train,1105,120
video1106,a woman put a pot over an open flame on the stove and startes to stir its contents,103380,16,https://www.youtube.com/watch?v=xZ3xf-K4lGE,135.56,146.32,train,1106,121
video1108,a computer character with a weapon plays for the red team,93420,2,https://www.youtube.com/watch?v=8GncD3BAzNg,108.56,121.37,train,1108,123
video1115,a man fixes a rotor on an engine,46220,9,https://www.youtube.com/watch?v=BPNgdeD4jNY,102.33,112.6,train,1115,131
video1118,a black man dances in an old music video,21600,0,https://www.youtube.com/watch?v=4Nt1r0vOpY4,49.18,63.3,train,1118,134
video1122,a boy and a girl dancing in a vehicle,12280,14,https://www.youtube.com/watch?v=MR854-Cr-Ds,61.61,77.26,train,1122,139
video1123,a father is seated holding his baby and is talking,85200,9,https://www.youtube.com/watch?v=v7R5lTh8zvk,17.65,43.25,train,1123,140
video1124,a man is on a ladder,43740,12,https://www.youtube.com/watch?v=9LyOQ2cJfvI,37.51,56.3,train,1124,141
video1129,a girl is doing something,39280,1,https://www.youtube.com/watch?v=cmSbXsFE3l8,50.31,62.78,train,1129,146
video1130,various vegetables on a white table possibly a cooking show/demo,122320,17,https://www.youtube.com/watch?v=vE2WEYeGNQo,0.0,10.09,train,1130,148
video1137,a close-up of a wart on somebodies foot,94080,1,https://www.youtube.com/watch?v=0rHikkxNz3I,216.33,226.77,train,1137,155
video1152,a boy in a polo shirt plays piano,10240,14,https://www.youtube.com/watch?v=bxDlC7YV5is,10.81,38.84,train,1152,172
video1162,a man is trying to replace the oil inside of his red vehicle,96740,9,https://www.youtube.com/watch?v=X4X6iejeJXY,39.79,59.74,train,1162,183
video1165,a bunch of characters dance and fall down from a stage,26000,8,https://www.youtube.com/watch?v=mc17IgLXk6U,96.33,106.75,train,1165,186
video1172,a young girl is acting like she is directing the musicians but the musicians already have a man directing,100600,7,https://www.youtube.com/watch?v=Xkj0TeZeZuo,638.95,651.8,train,1172,194
